,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,text_clean,label_id,ESG_Label,Impact_Level_Code,ESG_Controversy,Year,Sentiment_Code
10,10,10,10,10,2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,Worker Strike,FTSE 100,-1.66,36.59,Positive,Transportation,Medium,General Motors,https://www.ft.com/content/media-entertainment-merger,"global trade talks collapse, causing market turmoil",3,Social,1,1,2025,1.0
11,11,11,11,11,2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,Water Pollution Incident,TSX,-2.01,261.94,,Pharmaceuticals,Medium,General Motors,https://www.business-standard.com/economy/economic-stimulus,aerospace and defense sector sees rally amid geopolitical tensions,2,Environmental,1,1,2025,
12,12,12,12,12,2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,Executive Misconduct,ASX 200,-2.45,371.87,Negative,Healthcare,High,Chevron Corporation,https://www.cnbc.com/2025/12/healthcare-sector-outlook,supply chain issues impact manufacturing sector earnings,9,Governance,2,1,2025,-1.0
13,13,13,13,13,2025-02-28,,Investopedia,Product Safety Recall,Nasdaq Composite,,422.01,Negative,Aerospace & Defense,Low,Lockheed Martin,,,19,Social,0,0,2025,-1.0
14,14,14,14,14,2025-06-30,Market braces for a major policy announcement from the EU,Reuters,Antitrust Investigation,BSE Sensex,0.92,286.71,Positive,Finance,Medium,Ford Motor Company,https://www.reuters.com/markets/indices/nikkei-225,market braces for a major policy announcement from the eu,0,Governance,1,1,2025,1.0
15,15,15,15,15,2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Antitrust Investigation,Shanghai Composite,2.83,13.97,Negative,Industrials,Medium,Microsoft,https://www.reuters.com/business/retail-sector-earnings,new ipo for a popular software firm is oversubscribed,15,Governance,1,1,2025,-1.0
16,16,16,16,16,2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,Antitrust Investigation,KOSPI,-2.92,475.95,Negative,Real Estate,Low,Lockheed Martin,https://www.wsj.com/europe/regulatory-changes,market sentiment turns positive on vaccine trial results,14,Governance,0,0,2025,-1.0
17,17,17,17,17,2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Accounting Fraud Investigation,Shanghai Composite,4.41,448.6,Negative,Aerospace & Defense,High,Intel,https://www.bloomberg.com/australia/asx-200-performance,major technology firm acquires a smaller rival in a multi billion dollar deal,11,Governance,2,1,2025,-1.0
18,18,18,18,18,2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Accounting Fraud Investigation,Nasdaq Composite,-1.3,6.76,,Retail,Low,Apple Inc.,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,manufacturing pmi data signals economic expansion,11,Governance,0,0,2025,
19,19,19,19,19,2025-07-22,Financial services stocks rally on strong profit margins,Forbes,Executive Misconduct,BSE Sensex,4.15,410.09,Positive,Finance,Medium,Bank of America,https://www.business-standard.com/economy/inflation-data,financial services stocks rally on strong profit margins,18,Governance,1,1,2025,1.0
20,20,20,20,20,2025-05-21,,Yahoo Finance,Water Pollution Incident,Nasdaq Composite,4.32,122.45,Negative,Industrials,Medium,Intel,https://www.marketwatch.com/story/commodities-price-shock,,2,Environmental,1,1,2025,-1.0
21,21,21,21,21,2025-08-03,Mining company stock surges on commodity price boom,CNBC,Climate Regulation Breach,NSE Nifty,-0.95,29.44,Negative,Agriculture,Medium,Lockheed Martin,https://www.reuters.com/markets/indices/nikkei-225,mining company stock surges on commodity price boom,2,Environmental,1,1,2025,-1.0
22,22,22,22,22,2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,Accounting Fraud Investigation,ASX 200,-2.37,470.23,Neutral,Real Estate,Low,Apple Inc.,https://www.wsj.com/china/market-rally,tech giant's new product launch sparks sector wide gains,15,Governance,0,0,2025,0.0
23,23,23,23,23,2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Regulatory Compliance Failure,Euro Stoxx 50,-1.96,76.95,Negative,Utilities,High,Microsoft,https://www.business-standard.com/economy/trade-disputes-impact,financial sector bracing for new capital requirements,7,Governance,2,1,2025,-1.0
24,24,24,24,24,2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,Executive Misconduct,Hang Seng,0.21,268.35,,Construction,Low,Bank of America,,major technology firm acquires a smaller rival in a multi billion dollar deal,10,Governance,0,0,2025,
25,25,25,25,25,2025-04-07,ASX 200 gains on strong export performance,Reuters,Antitrust Investigation,TSX,4.28,269.15,Negative,Media & Entertainment,High,Bank of America,https://www.reuters.com/business/retail-sector-earnings,asx 200 gains on strong export performance,16,Governance,2,1,2025,-1.0
26,26,26,26,26,2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Antitrust Investigation,Russell 2000,-2.02,226.39,Neutral,Industrials,Low,Apple Inc.,https://www.theeconomist.com/world/government-policy-announcement,asx 200 gains on strong export performance,11,Governance,0,0,2025,0.0
27,27,27,27,27,2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Accounting Fraud Investigation,Nikkei 225,-0.05,251.63,Positive,Telecommunications,Medium,Chevron Corporation,https://www.ft.com/content/currency-devaluation,bond yields tumble as investors seek safe havens,1,Governance,1,1,2025,1.0
28,28,28,28,28,2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,Labor Rights Violation,CAC 40,1.34,349.78,Negative,Media & Entertainment,High,Chevron Corporation,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,utilities sector remains stable during market fluctuations,3,Social,2,1,2025,-1.0
29,29,29,29,29,2025-07-30,Financial sector bracing for new capital requirements,Barron's,Antitrust Investigation,Nasdaq Composite,-1.18,48.95,Neutral,Healthcare,Low,Apple Inc.,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,financial sector bracing for new capital requirements,11,Governance,0,0,2025,0.0
30,30,30,30,30,2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Climate Regulation Breach,Russell 2000,2.46,258.4,Positive,Retail,Medium,Microsoft,https://www.marketwatch.com/story/commodities-price-shock,consumer discretionary stocks outperform as spending increases,2,Environmental,1,1,2025,1.0
31,31,31,31,31,2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,Accounting Fraud Investigation,IBOVESPA,-4.4,444.33,Positive,Energy,Low,Exxon Mobil,https://www.business-standard.com/economy/inflation-data,quarterly report shows surprising losses for retail giants,7,Governance,0,0,2025,1.0
32,32,32,32,32,2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Regulatory Compliance Failure,Nikkei 225,3.53,320.06,Negative,Transportation,Low,Intel,https://www.wsj.com/china/market-regulation,major oil spill sends energy stocks plummeting,6,Governance,0,0,2025,-1.0
33,33,33,33,33,2025-03-22,China's Shanghai Composite falls after new trade restrictions,The Economist,Accounting Fraud Investigation,Nikkei 225,-3.44,329.44,Positive,Utilities,Low,Ford Motor Company,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,china's shanghai composite falls after new trade restrictions,7,Governance,0,0,2025,1.0
34,34,34,34,34,2025-05-02,Healthcare stocks gain on robust demand and strong outlook,Yahoo Finance,Labor Rights Violation,S&P 500,1.86,411.34,Positive,Industrials,Low,Apple Inc.,https://www.bloomberg.com/canada/tsunami-warnings,healthcare stocks gain on robust demand and strong outlook,19,Social,0,0,2025,1.0
35,35,35,35,35,2025-05-09,Retail sales report surpasses all forecasts,Forbes,Labor Rights Violation,FTSE 100,-2.67,45.77,Neutral,Agriculture,Low,Bank of America,https://www.investopedia.com/articles/government-policy-announcement,retail sales report surpasses all forecasts,19,Social,0,0,2025,0.0
36,36,36,36,36,2025-06-25,Government spending bill is expected to stimulate the economy,Forbes,Climate Regulation Breach,S&P/TSX Composite,4.1,162.75,Negative,Pharmaceuticals,Low,Lockheed Martin,https://www.bloomberg.com/canada/tsunami-warnings,government spending bill is expected to stimulate the economy,2,Environmental,0,0,2025,-1.0
37,37,37,37,37,2025-06-13,Bond yields tumble as investors seek safe havens,Forbes,Executive Misconduct,NSE Nifty,3.52,305.06,Negative,Aerospace & Defense,High,Ford Motor Company,https://timesofindia.indiatimes.com/business/corporate-governance,bond yields tumble as investors seek safe havens,16,Governance,2,1,2025,-1.0
38,38,38,38,38,2025-07-13,Government spending bill is expected to stimulate the economy,Financial Times,Accounting Fraud Investigation,CAC 40,0.02,215.73,Negative,Agriculture,Low,Microsoft,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,government spending bill is expected to stimulate the economy,5,Governance,0,0,2025,-1.0
39,39,39,39,39,2025-02-24,Financial sector bracing for new capital requirements,The Economist,Accounting Fraud Investigation,Euro Stoxx 50,1.48,238.3,,Industrials,Medium,Apple Inc.,https://www.marketwatch.com/story/commodities-price-shock,financial sector bracing for new capital requirements,5,Governance,1,1,2025,
40,40,40,40,40,2025-05-02,Financial services stocks rally on strong profit margins,Investopedia,Regulatory Compliance Failure,Hang Seng,-4.03,349.01,Negative,Materials,High,Apple Inc.,https://www.cnbc.com/2025/11/major-merger-deal-approved,financial services stocks rally on strong profit margins,5,Governance,2,1,2025,-1.0
41,41,41,41,41,2025-05-15,Government subsidy program gives a lift to the agriculture sector,Bloomberg,Regulatory Compliance Failure,Nikkei 225,-3.31,225.09,Positive,Agriculture,Low,Apple Inc.,https://www.investopedia.com/articles/government-policy-announcement,government subsidy program gives a lift to the agriculture sector,1,Governance,0,0,2025,1.0
42,42,42,42,42,2025-06-09,Federal Reserve Chairman's speech causes market volatility,Reuters,Human Rights Allegation,TSX,-4.56,244.44,Positive,Transportation,Low,Exxon Mobil,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,federal reserve chairman's speech causes market volatility,3,Social,0,0,2025,1.0
43,43,43,43,43,2025-07-20,Gold prices surge as investors flee riskier assets,Seeking Alpha,Regulatory Compliance Failure,KOSPI,-2.65,403.63,Positive,Telecommunications,Medium,Chevron Corporation,https://www.forbes.com/finance/geopolitical-event-impact,gold prices surge as investors flee riskier assets,9,Governance,1,1,2025,1.0
44,44,44,44,44,2025-04-05,Real Estate sector shows signs of overheating as interest rates fall,Business Standard,Product Safety Recall,ASX 200,-2.49,109.55,Neutral,Agriculture,Low,Chevron Corporation,https://www.reuters.com/business/energy/oil-market-update,real estate sector shows signs of overheating as interest rates fall,8,Social,0,0,2025,0.0
45,45,45,45,45,2025-07-01,Semiconductor shortages weigh heavily on tech sector profits,Business Standard,Regulatory Compliance Failure,S&P 500,0.28,210.73,Negative,Real Estate,High,Chevron Corporation,https://www.cnbc.com/2025/09/automotive-industry-trends,semiconductor shortages weigh heavily on tech sector profits,13,Governance,2,1,2025,-1.0
46,46,46,46,46,2025-03-21,Semiconductor shortages weigh heavily on tech sector profits,Mint,Executive Misconduct,FTSE 100,1.21,326.46,Neutral,Utilities,Low,JPMorgan Chase,https://www.marketwatch.com/story/commodities-price-shock,semiconductor shortages weigh heavily on tech sector profits,7,Governance,0,0,2025,0.0
47,47,47,47,47,2025-05-07,Gold prices surge as investors flee riskier assets,The Economist,Regulatory Compliance Failure,IBOVESPA,3.49,210.8,Neutral,Media & Entertainment,Medium,General Motors,https://www.forbes.com/crypto/cryptocurrency-regulation,gold prices surge as investors flee riskier assets,18,Governance,1,1,2025,0.0
48,48,48,48,48,2025-02-14,Government subsidy program gives a lift to the agriculture sector,Mint,Accounting Fraud Investigation,S&P/TSX Composite,-0.48,338.38,Neutral,Healthcare,Medium,Bank of America,https://www.reuters.com/business/retail-sector-earnings,government subsidy program gives a lift to the agriculture sector,4,Governance,1,1,2025,0.0
49,49,49,49,49,2025-04-27,,Wall Street Journal,Regulatory Compliance Failure,BSE Sensex,-4.9,461.59,Negative,Automotive,High,Ford Motor Company,https://www.investopedia.com/articles/supply-chain-disruption,,14,Governance,2,1,2025,-1.0
50,50,50,50,50,2025-05-15,Geopolitical ceasefire prompts a broad market recovery,Mint,Executive Misconduct,Dow Jones,4.28,464.65,Negative,Materials,High,Exxon Mobil,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,geopolitical ceasefire prompts a broad market recovery,4,Governance,2,1,2025,-1.0
51,51,51,51,51,2025-02-09,Massive stock buyback program announced by a consumer goods company,Investopedia,Accounting Fraud Investigation,NSE Nifty,-4.03,266.37,Positive,Agriculture,Medium,Chevron Corporation,https://www.moneycontrol.com/us-markets/sp-500,massive stock buyback program announced by a consumer goods company,4,Governance,1,1,2025,1.0
52,52,52,52,52,2025-06-15,Media and Entertainment companies report a surge in streaming revenue,Barron's,Antitrust Investigation,Euro Stoxx 50,-1.18,412.76,Neutral,Consumer Goods,Low,Lockheed Martin,https://www.ft.com/content/currency-devaluation,media and entertainment companies report a surge in streaming revenue,7,Governance,0,0,2025,0.0
53,53,53,53,53,2025-03-16,A massive data breach sends a tech company's stock tumbling,Investopedia,Worker Strike,Shanghai Composite,,393.12,Neutral,Automotive,Medium,Lockheed Martin,https://www.moneycontrol.com/us-markets/nasdaq-composite,a massive data breach sends a tech company's stock tumbling,19,Social,1,1,2025,0.0
54,54,54,54,54,2025-06-21,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Financial Times,Executive Misconduct,IBOVESPA,-1.28,105.33,Negative,Transportation,High,General Motors,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,major technology firm acquires a smaller rival in a multi billion dollar deal,13,Governance,2,1,2025,-1.0
55,55,55,55,55,2025-03-18,Geopolitical ceasefire prompts a broad market recovery,Times of India,Regulatory Compliance Failure,Dow Jones,3.11,190.38,Neutral,Materials,Low,General Motors,,geopolitical ceasefire prompts a broad market recovery,16,Governance,0,0,2025,0.0
56,56,56,56,56,2025-03-15,Mining company stock surges on commodity price boom,Economic Times,Regulatory Compliance Failure,KOSPI,,304.75,,Finance,Low,Bank of America,https://www.ft.com/content/tech-sector-innovation,mining company stock surges on commodity price boom,14,Governance,0,0,2025,
57,57,57,57,57,2025-06-08,Healthcare stocks gain on robust demand and strong outlook,The Motley Fool,Accounting Fraud Investigation,DAX,-3.83,319.56,Neutral,Materials,Medium,Intel,,healthcare stocks gain on robust demand and strong outlook,11,Governance,1,1,2025,0.0
58,58,58,58,58,2025-05-23,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Seeking Alpha,Worker Strike,Russell 2000,0.78,181.68,Positive,Construction,Low,Microsoft,https://www.reuters.com/business/retail-sector-earnings,major technology firm acquires a smaller rival in a multi billion dollar deal,3,Social,0,0,2025,1.0
59,59,59,59,59,2025-03-31,Central Bank Governor signals potential shift in policy,CNBC,Regulatory Compliance Failure,Dow Jones,0.2,453.06,Negative,Industrials,High,Lockheed Martin,https://economictimes.indiatimes.com/news/economy/unemployment-rate,central bank governor signals potential shift in policy,12,Governance,2,1,2025,-1.0
60,60,60,60,60,2025-04-14,Banking stocks dip after a major scandal is revealed,Financial Times,Regulatory Compliance Failure,Hang Seng,4.99,314.53,Negative,Agriculture,Low,Lockheed Martin,https://www.ft.com/content/geopolitical-summit,banking stocks dip after a major scandal is revealed,5,Governance,0,0,2025,-1.0
61,61,61,61,61,2025-07-15,Financial sector bracing for new capital requirements,The Motley Fool,Executive Misconduct,TSX,-0.18,7.52,Positive,Aerospace & Defense,Low,General Motors,https://www.cnbc.com/2025/09/automotive-industry-trends,financial sector bracing for new capital requirements,10,Governance,0,0,2025,1.0
62,62,62,62,62,2025-07-13,Aerospace and Defense sector sees rally amid geopolitical tensions,The Economist,Environmental Spill,ASX 200,-0.6,149.08,Negative,Real Estate,High,Ford Motor Company,https://www.marketwatch.com/story/consumer-goods-report,aerospace and defense sector sees rally amid geopolitical tensions,2,Environmental,2,1,2025,-1.0
63,63,63,63,63,2025-06-15,Bond yields tumble as investors seek safe havens,Mint,Human Rights Allegation,FTSE 100,4.11,30.24,Positive,Industrials,Low,Chevron Corporation,https://www.ft.com/content/consumer-confidence-report,bond yields tumble as investors seek safe havens,8,Social,0,0,2025,1.0
64,64,64,64,64,2025-05-20,UK's FTSE 100 sees a boost from favorable trade data,The Motley Fool,Antitrust Investigation,Nasdaq Composite,-0.47,457.4,Neutral,Technology,Medium,JPMorgan Chase,https://www.theeconomist.com/finance-and-economics/trade-tariffs,uk's ftse 100 sees a boost from favorable trade data,4,Governance,1,1,2025,0.0
65,65,65,65,65,2025-03-06,Government subsidy program gives a lift to the agriculture sector,Business Standard,Environmental Spill,Russell 2000,-0.05,204.89,Negative,Transportation,High,Microsoft,https://www.forbes.com/finance/geopolitical-event-impact,government subsidy program gives a lift to the agriculture sector,2,Environmental,2,1,2025,-1.0
66,66,66,66,66,2025-06-10,Semiconductor shortages weigh heavily on tech sector profits,Economic Times,Accounting Fraud Investigation,TSX,,241.36,Positive,Agriculture,Medium,Apple Inc.,https://www.ft.com/content/currency-devaluation,semiconductor shortages weigh heavily on tech sector profits,12,Governance,1,1,2025,1.0
67,67,67,67,67,2025-06-17,New housing data release shows a slowdown in market activity,Times of India,Labor Rights Violation,Euro Stoxx 50,-2.35,8.7,Positive,Telecommunications,Low,General Motors,https://www.forbes.com/crypto/cryptocurrency-regulation,new housing data release shows a slowdown in market activity,19,Social,0,0,2025,1.0
68,68,68,68,68,2025-02-02,Utilities sector remains stable during market fluctuations,Economic Times,Executive Misconduct,DAX,4.24,418.66,Negative,Energy,High,Ford Motor Company,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,utilities sector remains stable during market fluctuations,7,Governance,2,1,2025,-1.0
69,69,69,69,69,2025-07-17,Central bank maintains status quo on interest rates,MarketWatch,Regulatory Compliance Failure,S&P 500,1.06,25.01,Negative,Agriculture,High,Intel,https://www.moneycontrol.com/us-markets/dow-jones-industrial,central bank maintains status quo on interest rates,18,Governance,2,1,2025,-1.0
70,70,70,70,70,2025-02-15,E-commerce earnings report beats all analyst expectations,Barron's,Labor Rights Violation,Euro Stoxx 50,-3.79,71.75,Negative,Finance,High,Apple Inc.,https://economictimes.indiatimes.com/industry/industrials,e commerce earnings report beats all analyst expectations,17,Social,2,1,2025,-1.0
71,71,71,71,71,2025-05-18,Unexpected rise in unemployment fuels market pessimism,Financial Times,Regulatory Compliance Failure,TSX,-0.82,393.62,Negative,Consumer Goods,Low,Bank of America,https://www.reuters.com/markets/stocks/tech-rally,unexpected rise in unemployment fuels market pessimism,9,Governance,0,0,2025,-1.0
72,72,72,72,72,2025-02-18,Merger talks between two banks fall through,Seeking Alpha,Regulatory Compliance Failure,S&P/TSX Composite,-0.94,321.84,Negative,Retail,High,Apple Inc.,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,merger talks between two banks fall through,5,Governance,2,1,2025,-1.0
73,73,73,73,73,2025-05-24,Automotive industry faces headwinds from rising material costs,Mint,Executive Misconduct,Nasdaq Composite,0.09,285.52,Negative,Finance,High,Lockheed Martin,https://www.ft.com/content/tech-sector-innovation,automotive industry faces headwinds from rising material costs,13,Governance,2,1,2025,-1.0
74,74,74,74,74,2025-06-05,Geopolitical ceasefire prompts a broad market recovery,Yahoo Finance,Regulatory Compliance Failure,DAX,-1.33,197.01,Negative,Finance,High,Exxon Mobil,https://www.ft.com/content/consumer-confidence-report,geopolitical ceasefire prompts a broad market recovery,12,Governance,2,1,2025,-1.0
75,75,75,75,75,2025-02-11,New IPO for a popular software firm is oversubscribed,Mint,Executive Misconduct,Nikkei 225,1.94,267.09,Positive,Media & Entertainment,Medium,Exxon Mobil,https://www.ft.com/content/currency-devaluation,new ipo for a popular software firm is oversubscribed,0,Governance,1,1,2025,1.0
76,76,76,76,76,2025-07-28,Massive stock buyback program announced by a consumer goods company,The Motley Fool,Executive Misconduct,Hang Seng,-4.49,248.94,Positive,Construction,Low,JPMorgan Chase,https://www.moneycontrol.com/us-markets/dow-jones-industrial,massive stock buyback program announced by a consumer goods company,15,Governance,0,0,2025,1.0
77,77,77,77,77,2025-06-05,Market sentiment turns positive on vaccine trial results,CNBC,Executive Misconduct,Euro Stoxx 50,-0.98,470.63,Neutral,Media & Entertainment,Medium,Ford Motor Company,https://www.moneycontrol.com/us-markets/nasdaq-composite,market sentiment turns positive on vaccine trial results,0,Governance,1,1,2025,0.0
78,78,78,78,78,2025-03-16,Financial services stocks rally on strong profit margins,Economic Times,Executive Misconduct,ASX 200,-1.11,262.76,Positive,Utilities,Medium,Lockheed Martin,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,financial services stocks rally on strong profit margins,0,Governance,1,1,2025,1.0
79,79,79,79,79,2025-05-05,Gold prices surge as investors flee riskier assets,Barron's,Accounting Fraud Investigation,Nasdaq Composite,2.36,431.14,Negative,Transportation,Low,Ford Motor Company,https://www.ft.com/content/currency-devaluation,gold prices surge as investors flee riskier assets,9,Governance,0,0,2025,-1.0
80,80,80,80,80,2025-04-07,Central bank maintains status quo on interest rates,Times of India,Antitrust Investigation,Hang Seng,0.15,147.45,Positive,Transportation,Low,JPMorgan Chase,https://www.bloomberg.com/asia/policy/central-bank-meeting,central bank maintains status quo on interest rates,1,Governance,0,0,2025,1.0
81,81,81,81,81,2025-08-05,Geopolitical ceasefire prompts a broad market recovery,Investopedia,Antitrust Investigation,DAX,-0.65,233.8,Neutral,Media & Entertainment,Low,JPMorgan Chase,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,geopolitical ceasefire prompts a broad market recovery,6,Governance,0,0,2025,0.0
82,82,82,82,82,2025-06-07,Government subsidy program gives a lift to the agriculture sector,Mint,Product Safety Recall,ASX 200,-3.79,80.24,Negative,Consumer Goods,High,Ford Motor Company,https://www.reuters.com/business/retail-sector-earnings,government subsidy program gives a lift to the agriculture sector,17,Social,2,1,2025,-1.0
83,83,83,83,83,2025-02-04,Major oil spill sends energy stocks plummeting,The Hindu Business Line,Executive Misconduct,S&P 500,1.86,322.25,Negative,Healthcare,Medium,Microsoft,https://www.wsj.com/japan/economic-data-release,major oil spill sends energy stocks plummeting,7,Governance,1,1,2025,-1.0
84,84,84,84,84,2025-06-18,Government subsidy program gives a lift to the agriculture sector,Mint,Labor Rights Violation,Dow Jones,,347.84,,Telecommunications,Low,Lockheed Martin,https://www.wsj.com/china/market-regulation,government subsidy program gives a lift to the agriculture sector,8,Social,0,0,2025,
85,85,85,85,85,2025-05-14,Media and Entertainment companies report a surge in streaming revenue,Wall Street Journal,Regulatory Compliance Failure,DAX,-2.36,196.89,Negative,Agriculture,High,General Motors,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,media and entertainment companies report a surge in streaming revenue,10,Governance,2,1,2025,-1.0
86,86,86,86,86,2025-03-06,"Global trade talks collapse, causing market turmoil",The Motley Fool,Regulatory Compliance Failure,DAX,4.26,259.79,Negative,Agriculture,High,JPMorgan Chase,https://www.reuters.com/markets/indices/ftse-100,"global trade talks collapse, causing market turmoil",18,Governance,2,1,2025,-1.0
87,87,87,87,87,2025-03-25,Energy company's dividend hike excites shareholders,CNBC,Antitrust Investigation,Euro Stoxx 50,-2.59,162.08,Negative,Energy,High,Intel,https://www.ft.com/content/tech-sector-innovation,energy company's dividend hike excites shareholders,7,Governance,2,1,2025,-1.0
88,88,88,88,88,2025-02-17,Government policy shift boosts renewable energy sector,Reuters,Human Rights Allegation,IBOVESPA,0.86,267.62,Positive,Transportation,Medium,Exxon Mobil,https://www.moneycontrol.com/us-markets/sp-500,government policy shift boosts renewable energy sector,17,Social,1,1,2025,1.0
89,89,89,89,89,2025-03-11,UK's FTSE 100 sees a boost from favorable trade data,Yahoo Finance,Antitrust Investigation,Nikkei 225,-4.2,7.51,Negative,Media & Entertainment,High,Intel,https://www.theeconomist.com/finance-and-economics/trade-tariffs,uk's ftse 100 sees a boost from favorable trade data,4,Governance,2,1,2025,-1.0
90,90,90,90,90,2025-03-06,Crude oil prices drop to a multi-year low,The Motley Fool,Labor Rights Violation,Nasdaq Composite,0.53,110.48,Positive,Telecommunications,Medium,Bank of America,https://timesofindia.indiatimes.com/business/agriculture-sector,crude oil prices drop to a multi year low,17,Social,1,1,2025,1.0
91,91,91,91,91,2025-03-05,New housing data release shows a slowdown in market activity,Investopedia,Regulatory Compliance Failure,BSE Sensex,4.7,419.81,Negative,Media & Entertainment,High,Chevron Corporation,https://www.bloomberg.com/canada/tsunami-warnings,new housing data release shows a slowdown in market activity,11,Governance,2,1,2025,-1.0
